"group","n","min","p01","p05","median","p95","p99","max","n_outside_01_99","n_outside_025_975","n_outside_05_95"
"overall",460,1.30235725756368e-10,9.45869471092506e-10,0.00120436723423208,0.249697677740351,0.883627004699171,0.974695620654818,0.987672921054857,122,188,207
"A0",319,1.30235725756368e-10,8.61217090801141e-10,0.000536974401904929,0.0167297666824649,0.525813533643939,0.839219680806207,0.895654996197468,121,181,191
"A1",141,0.00116983582082452,0.0404568202942819,0.239455036777264,0.798198382170214,0.969201362216916,0.979758094855914,0.987672921054857,1,7,16
