"modifier","level","n_input","n_complete","n_complete_A0","n_complete_A1","status","R_1_G1","R_1_G0","R_0_G0","TE","IDE","IIE"
"ICU type","Medical ICU",144,140,92,48,"ok",0.424386152059362,0.418526020052558,0.513608666589389,-0.0892225145300272,-0.0950826465368315,0.0058601320068043
"ICU type","Surgical ICU",316,264,188,76,"ok",0.445534993727543,0.456466777181269,0.244148799591676,0.201386194135867,0.212317977589593,-0.0109317834537264
"Baseline severity (SOFA>=6 vs <6)","SOFA<6",215,187,139,48,"ok",0.413079191467346,0.4367900790892,0.246383453965215,0.166695737502131,0.190406625123985,-0.0237108876218537
"Baseline severity (SOFA>=6 vs <6)","SOFA>=6",245,217,141,76,"ok",0.494778757063626,0.499361731161596,0.399079739982587,0.0956990170810389,0.10028199117901,-0.00458297409797087
